epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.414,1.3509,3.6405,1.53601,0.00247,0.75,0.27099,0.23413,0.93011,4.10472,1.24843,0.00010002,0.00010002,0.00010002
2,26.5699,1.1291,3.13938,1.39914,0.00267,0.80556,0.29883,0.2016,0.97097,4.18143,1.29114,0.000205983,0.000205983,0.000205983
3,37.0614,1.00184,2.47045,1.22331,0.00313,0.94444,0.3088,0.22042,1.01415,3.93703,1.30073,0.000300393,0.000300393,0.000300393
4,50.056,1.09485,2.36615,1.30693,0.00314,0.94444,0.37798,0.28059,1.15694,3.92509,1.42697,0.000383252,0.000383252,0.000383252
5,60.572,1.15985,2.19965,1.32312,0.00301,0.86111,0.39082,0.26511,1.09984,4.02659,1.39249,0.000454558,0.000454558,0.000454558
6,71.8914,1.32229,2.815,1.54735,0.00254,0.75,0.30863,0.20482,1.00422,4.08135,1.30574,0.000514311,0.000514311,0.000514311
7,82.0605,1.03444,2.28408,1.34551,0.0023,0.69444,0.30626,0.20361,1.05323,4.1345,1.30781,0.000562512,0.000562512,0.000562512
8,92.4888,1.05338,2.24083,1.30171,0.021,0.61111,0.31274,0.24084,1.10247,4.03076,1.30336,0.000599161,0.000599161,0.000599161
9,102.817,1.11874,2.11609,1.25242,0.65143,0.11111,0.30133,0.20956,1.16019,3.95927,1.33643,0.000624258,0.000624258,0.000624258
10,113.313,0.90232,1.83087,1.12955,0.63528,0.11111,0.23909,0.16843,1.18295,3.96068,1.31808,0.000637803,0.000637803,0.000637803
11,123.543,1.00646,2.59175,1.28788,0.64926,0.11111,0.30113,0.19327,1.18667,3.93163,1.35998,0.000639795,0.000639795,0.000639795
12,133.561,1.09829,2.70034,1.3508,0.48414,0.27265,0.327,0.17573,1.28206,4.14226,1.43779,0.000630234,0.000630234,0.000630234
13,143.581,1.00849,2.84392,1.36522,0.65036,0.29117,0.34781,0.1673,1.28754,4.11898,1.48128,0.000609122,0.000609122,0.000609122
14,153.904,1.04033,2.5866,1.33482,0.65036,0.29117,0.34781,0.1673,1.28754,4.11898,1.48128,0.000576457,0.000576457,0.000576457
15,164.557,1.10925,2.59188,1.28571,0.53986,0.30556,0.40729,0.23098,1.28849,3.94054,1.48874,0.000511769,0.000511769,0.000511769
16,174.87,0.97517,2.37622,1.25425,0.67673,0.54178,0.63322,0.36457,1.22544,3.72952,1.44905,0.000429253,0.000429253,0.000429253
17,185.102,1.14003,2.66095,1.31674,0.7736,0.52993,0.65552,0.39366,1.23965,3.41412,1.41899,0.000346736,0.000346736,0.000346736
18,195.398,0.91338,2.32615,1.18239,0.78211,0.51831,0.68228,0.39559,1.31856,3.17874,1.47297,0.00026422,0.00026422,0.00026422
19,205.516,0.95099,2.35349,1.21696,0.74604,0.57877,0.74511,0.41075,1.3029,3.0101,1.4879,0.000181703,0.000181703,0.000181703
20,215.74,0.87905,2.03539,1.13146,0.765,0.585,0.74614,0.44754,1.22298,2.93736,1.4374,9.91865e-05,9.91865e-05,9.91865e-05
